ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,profit_dedt,bps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,roe,roe_waa,roe_dt,roe_yearly,netprofit_margin,gross_margin,assets_turn,ca_turn,debt_to_assets,current_ratio,quick_ratio,cash_ratio,op_income,fcff,fcfe,eps_5y_cagr,revenue_5y_cagr,data_years,trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv,circ_mv,value_score,quality_score,total_score,rating,rank
002279.SZ,2279,久其软件,北京,软件服务,主板,SZSE,20090811,S,20241231,-0.1798,-0.1798,4.667,4.667,-170263410.9,1.6267,1.1603,0.0838,-0.55,-10.2386,-10.39,-11.2063,-10.2386,,,1.4726,2.071,42.8852,1.7068,1.6714,1.6206,-173767341.06,-159411371.61,-159411371.61,,0.0882588646829471,3,20260227.0,9.42,,186.5134,5.8,2.0118,2.7956,,,812198.8725,743923.1628,10.0,12.0,11.0,D,858
600797.SH,600797,浙大网新,浙江,软件服务,主板,SSE,19970418,H,20241231,-0.06,-0.06,3.2266,3.2266,-96986166.08,3.1858,1.5676,0.2233,0.5867,-1.907,-1.91,-2.9109,-1.907,,,0.546,1.2814,40.4185,1.6324,1.4613,1.3831,-103321756.02,-132643359.5,-44528446.76,(-1+0.7071067811865476j),-0.0402761285094963,3,20260227.0,11.2,,667.3256,3.2962,3.4712,3.3801,,,1150829.5344,1150829.5344,10.0,12.0,11.0,D,859
002735.SZ,2735,王子新材,深圳,塑料,主板,SZSE,20141203,S,20241231,-0.18,-0.18,5.2073,5.2073,-64241652.55,4.509,2.237,0.0507,1.3475,-3.8803,-3.88,-3.6389,-3.8803,,,0.6217,0.9367,40.931,1.6309,1.3532,1.3085,-59064775.04,-426513212.69,-453605710.69,(-0.9999999999999999+0.9258200997725514j),0.0712912353090848,3,20260227.0,18.43,,,4.0685,3.5393,3.1386,0.0705,0.0705,704038.0772,516894.2489,10.0,12.0,11.0,D,860
300278.SZ,300278,华昌达,湖北,专用机械,创业板,SZSE,20111216,S,20241231,0.05,0.05,1.8294,1.8294,22114442.79,1.2628,1.336,0.0091,-0.9913,4.4219,4.42,1.2597,4.4219,2.9879,,0.8149,1.0913,42.5436,1.7727,1.2487,0.8663,28703268.97,-517714453.3742,-496764453.3742,0j,-0.0463620534667235,3,20260227.0,5.77,105.0962,682.0017,4.7112,3.137,3.4713,,,815812.5151,813249.8689,10.0,12.0,11.0,D,861
001330.SZ,1330,博纳影业,新疆,影视音像,主板,SZSE,20220818,S,20241231,-0.63,-0.63,1.0633,1.0633,-973323241.13,3.8412,2.8711,0.0961,-0.0218,-15.0883,-15.09,-16.9406,-15.0883,,,0.1,0.2463,61.4518,1.5911,1.3447,0.6314,-1108253019.36,-730771230.75,-1567787869.36,,-0.0466474414211712,3,20260227.0,9.07,,,2.9761,8.5304,8.4585,,,1246688.7185,1246688.7185,10.0,12.0,11.0,D,862
002730.SZ,2730,电光科技,浙江,专用机械,主板,SZSE,20141009,S,20241231,0.26,0.26,3.2843,3.2843,92321896.32,4.4407,1.4289,0.2654,1.7464,5.9607,5.98,5.8276,5.9607,8.2642,,0.446,0.6857,40.1992,1.7373,1.4315,1.1946,106297992.54,-376319856.0143,-178202921.4143,(-0.11237463540140546+0j),-0.0695321624412529,3,20260227.0,17.71,67.906,67.2668,3.9366,5.3924,5.2581,0.734,0.734,641243.4675,612818.9175,5.0,17.0,11.0,D,863
688181.SH,688181,八亿时空,北京,元器件,科创板,SSE,20200106,N,20241231,0.57,0.57,5.4831,5.4831,62094300.0,15.5091,8.44,0.5,6.0532,3.6861,3.64,2.9879,3.6861,10.0359,,0.2579,0.6742,28.0448,1.5216,1.0768,0.9868,78973575.75,-247862693.5529,-156874613.6329,(-0.15590284919329345+0j),-0.0396331651252559,3,20260227.0,36.35,63.8141,80.7463,2.358,6.6295,5.8621,,,488840.4197,488840.4197,10.0,12.0,11.0,D,864
688607.SH,688607,康众医疗,江苏,医疗保健,科创板,SSE,20210201,N,20241231,0.2,0.2,3.3825,3.3825,5944151.22,9.7872,6.2344,0.3455,2.2868,2.0519,2.05,0.6909,2.0519,5.9294,,0.3115,0.4238,10.801,6.8373,5.8703,5.7321,8600660.02,-79624092.384,-85156073.064,(0.08465228909328082+0j),0.0435282123632634,3,20260227.0,53.2,265.5943,,5.5165,15.7278,14.6274,0.1137,0.1137,468846.4236,468846.4236,0.0,20.0,10.0,D,865
300894.SZ,300894,火星人,浙江,家用电器,创业板,SZSE,20201231,S,20241231,0.03,0.03,3.3749,3.3749,-2954129.51,3.2319,1.1717,0.4342,0.7042,0.7271,0.74,-0.1926,0.7271,,,0.4731,0.8122,42.8989,2.4427,2.1135,1.9894,-22197051.23,-234975150.05,-631975150.05,-0.7782336187136282,-0.1969882630086391,3,20260227.0,11.64,424.0899,,4.3717,3.4368,5.03,,,472912.3586,342298.9874,5.0,15.0,10.0,D,866
688345.SH,688345,博力威,广东,电气设备,科创板,SSE,20210611,N,20241231,-0.97,-0.97,18.4399,18.4399,-84421863.71,10.4849,7.3765,0.4871,1.7313,-8.7587,-8.76,-7.6539,-8.7587,,,0.6902,1.197,60.8528,0.9778,0.6695,0.6468,-119547428.07,-84446710.24,-147274718.76,,-0.0915810485325545,3,20260227.0,38.78,,,3.5531,2.1272,1.4834,,,392257.761,387800.0,20.0,0.0,10.0,D,867
